Path Length, Path Cost,stl_time,Binary Heap Execution Time(ms), Fibonacci Heap Execution Time(ms)
11,4861313005,0.604,0.477,1.572
13,6016592671,0.582,0.494,1.64
10,3854542236,0.578,0.487,1.658
13,4217140828,0.814,0.617,1.759
8,2795173213,0.768,0.793,2.181
16,5320802911,0.62,0.677,1.97
8,4425628616,0.601,0.514,1.676
5,2833618349,0.589,0.518,1.771
10,4129461217,0.63,0.51,1.598
9,4083958245,0.578,0.498,1.577
13,5712387955,0.578,0.557,1.643
9,3002210109,0.627,0.499,1.599
12,3686128060,0.575,0.499,1.566
10,4864054375,0.575,0.496,1.636
12,3513392593,0.626,0.519,1.632
10,5205694348,0.602,0.574,1.749
10,4648106608,0.592,0.535,1.652
1000000000000000000,1000000000000000000,0.009,0.265,0.008
7,3850113183,0.587,0.528,1.652
1000000000000000000,1000000000000000000,0.008,0.217,0.008
11,4138370702,0.647,0.512,1.604
1000000000000000000,1000000000000000000,0.009,0.242,0.008
1000000000000000000,1000000000000000000,0.008,0.209,0.008
4,1977839439,0.635,0.505,1.599
5,3318697148,0.591,0.688,1.732
1000000000000000000,1000000000000000000,0.008,0.251,0.008
19,8941265183,0.65,0.515,1.759
5,3120861520,0.697,0.489,1.757
1000000000000000000,1000000000000000000,0.577,0.474,1.534
1000000000000000000,1000000000000000000,0.008,0.193,0.024
1000000000000000000,1000000000000000000,0.008,0.194,0.008
11,4486645432,0.592,0.477,1.577
8,4123176664,0.61,0.601,1.628
1000000000000000000,1000000000000000000,0.008,0.235,0.009
1000000000000000000,1000000000000000000,0.652,0.841,1.63
7,1803623776,0.591,0.602,1.666
13,3267973164,0.599,0.515,1.629
1000000000000000000,1000000000000000000,0.578,0.52,1.714
1000000000000000000,1000000000000000000,0.575,0.486,1.578
1000000000000000000,1000000000000000000,0.571,0.486,1.601
1000000000000000000,1000000000000000000,0.609,0.522,1.582
1000000000000000000,1000000000000000000,0.008,0.198,0.008
7,3451472251,0.574,0.495,1.584
13,3781900653,0.562,0.473,1.602
1000000000000000000,1000000000000000000,0.553,0.469,1.547
8,3733814013,0.552,0.465,1.505
6,2588001055,0.553,0.468,1.55
1000000000000000000,1000000000000000000,0.568,0.512,1.556
14,4351673790,0.58,0.471,1.507
9,3008391401,0.594,0.637,1.786
1000000000000000000,1000000000000000000,0.574,0.486,1.612
12,4867382227,0.577,0.485,1.588
4,1265594431,0.561,0.475,1.622
6,4345553872,0.595,0.503,1.764
13,5054853128,0.595,0.494,1.596
1000000000000000000,1000000000000000000,0.01,0.203,0.01
1000000000000000000,1000000000000000000,0.01,0.203,0.009
1000000000000000000,1000000000000000000,0.008,0.203,0.008
1000000000000000000,1000000000000000000,0.008,0.203,0.008
11,2499221074,0.596,0.502,1.639
6,3550632596,0.562,0.522,1.615
12,6063029101,0.556,0.541,1.527
7,4461956844,0.558,0.47,1.533
1000000000000000000,1000000000000000000,0.008,0.192,0.007
3,1299797070,0.01,0.194,0.01
10,6452148014,0.564,0.475,1.593
12,6814307118,0.552,0.467,1.551
1000000000000000000,1000000000000000000,0.589,0.467,1.563
10,4649336644,0.565,0.474,1.596
10,4866337815,0.565,0.51,1.551
1000000000000000000,1000000000000000000,0.557,0.473,1.526
1000000000000000000,1000000000000000000,0.008,0.192,0.008
14,6158868183,0.558,0.469,1.57
1000000000000000000,1000000000000000000,0.009,0.194,0.008
13,5413957735,0.562,0.475,1.598
12,4171998100,0.696,0.483,1.517
1000000000000000000,1000000000000000000,0.008,0.235,0.011
10,4948887971,0.57,0.484,1.584
10,2753257814,0.577,0.486,1.628
1000000000000000000,1000000000000000000,0.008,0.198,0.008
3,1161549549,0.615,0.485,1.576
15,6105046661,0.563,0.519,1.531
9,3815253341,0.564,0.472,1.61
1000000000000000000,1000000000000000000,0.606,0.469,1.535
3,1816859408,0.562,0.502,1.583
7,3735776050,0.557,0.473,1.593
1000000000000000000,1000000000000000000,0.595,0.471,1.535
1000000000000000000,1000000000000000000,0.562,0.472,1.539
1000000000000000000,1000000000000000000,0.592,0.471,1.571
6,2944649899,0.604,0.472,1.552
13,6022824494,0.594,0.472,1.547
1000000000000000000,1000000000000000000,0.554,0.47,1.562
9,2859842139,0.559,0.47,1.517
6,2475626699,0.576,0.487,1.841
1000000000000000000,1000000000000000000,0.603,0.475,1.66
1000000000000000000,1000000000000000000,0.008,0.192,0.008
9,4445473053,0.761,0.469,1.564
20,6181561285,0.592,0.91,1.728
1000000000000000000,1000000000000000000,0.559,0.629,1.66
14,5399890961,0.563,0.491,1.597
11,5340683416,0.568,0.538,1.546
9,2235427437,0.555,0.47,1.608
9,4291464103,0.556,0.47,1.581
5,1253311898,0.594,0.583,1.529
1000000000000000000,1000000000000000000,0.009,0.257,0.008
1000000000000000000,1000000000000000000,0.561,0.493,1.821
15,4009886155,0.556,0.513,1.573
1000000000000000000,1000000000000000000,0.008,0.193,0.008
1000000000000000000,1000000000000000000,0.608,0.475,1.561
1000000000000000000,1000000000000000000,0.009,0.193,0.009
8,2985506175,0.561,0.474,1.537
9,4496200645,0.597,0.691,1.611
16,5663221891,0.581,0.534,1.633
1000000000000000000,1000000000000000000,0.008,0.198,0.007
11,3991634954,0.574,0.485,1.582
1000000000000000000,1000000000000000000,0.008,0.25,0.008
1000000000000000000,1000000000000000000,0.553,0.47,1.511
12,2372076065,0.562,0.514,1.639
16,7122744820,0.557,0.47,1.531
11,5407165258,0.553,0.468,1.581
6,2395210802,0.559,0.469,1.692
1000000000000000000,1000000000000000000,0.56,0.474,1.539
1000000000000000000,1000000000000000000,0.009,0.232,0.008
1000000000000000000,1000000000000000000,0.007,0.208,0.023
11,7219963828,0.552,0.468,1.51
12,6700422109,0.554,0.479,1.587
1000000000000000000,1000000000000000000,0.007,0.192,0.008
9,4109097219,0.598,0.473,1.55
8,3570805456,0.555,0.469,1.509
1000000000000000000,1000000000000000000,0.008,0.286,0.007
1000000000000000000,1000000000000000000,0.558,0.526,1.795
1000000000000000000,1000000000000000000,0.564,0.512,1.564
1000000000000000000,1000000000000000000,0.008,0.192,0.008
4,1712675554,0.589,0.496,1.693
1000000000000000000,1000000000000000000,0.568,0.483,1.582
14,6004081368,0.58,0.52,1.586
14,6207044932,0.581,0.487,1.596
11,5209976071,0.562,0.477,1.648
1000000000000000000,1000000000000000000,0.008,0.192,0.007
10,4837772707,0.564,0.472,1.583
8,4110403942,0.567,0.478,1.555
7,2895823167,0.56,0.475,1.589
8,2982008282,0.568,0.507,1.557
9,3679760294,0.56,0.47,1.528
1000000000000000000,1000000000000000000,0.008,0.192,0.007
9,4425476430,0.557,0.47,1.614
10,3205259591,0.563,0.488,1.575
1000000000000000000,1000000000000000000,0.562,0.471,1.563
9,3705549667,0.563,0.472,1.584
4,1791524393,0.559,0.507,1.54
1000000000000000000,1000000000000000000,0.59,0.679,1.54
1000000000000000000,1000000000000000000,0.01,0.204,0.011
10,3961325020,0.569,0.486,1.594
1000000000000000000,1000000000000000000,0.008,0.198,0.008
1000000000000000000,1000000000000000000,0.007,0.197,0.008
9,3778056110,0.562,0.471,1.618
8,4006994533,0.561,0.478,1.534
13,5472834011,0.559,0.475,1.552
1000000000000000000,1000000000000000000,0.564,0.475,1.562
7,2393760801,0.575,0.476,1.572
1000000000000000000,1000000000000000000,0.008,0.192,0.007
1000000000000000000,1000000000000000000,0.008,0.192,0.008
15,4633294051,0.558,0.471,1.523
10,4604271349,0.555,0.472,1.534
8,3947883262,0.56,0.475,1.526
1000000000000000000,1000000000000000000,0.007,0.192,0.007
12,5785053808,0.543,0.462,1.487
10,4469997984,0.58,0.472,1.552
8,3436431225,0.566,0.477,1.545
6,3830360550,0.563,0.471,1.554
14,4520493241,0.564,0.475,1.566
1000000000000000000,1000000000000000000,0.008,0.193,0.007
16,6837744056,0.656,0.596,1.543
15,7082766507,0.574,0.524,1.557
1000000000000000000,1000000000000000000,0.008,0.198,0.007
1000000000000000000,1000000000000000000,0.57,0.482,1.615
8,5094786347,0.579,0.512,1.648
6,3295384650,0.559,0.473,1.558
8,3711765343,0.555,0.469,1.563
1000000000000000000,1000000000000000000,0.007,0.192,0.007
7,3679958386,0.568,0.511,1.593
6,3219341899,0.562,0.472,1.561
1000000000000000000,1000000000000000000,0.008,0.192,0.007
12,4200097597,0.567,0.476,1.568
1000000000000000000,1000000000000000000,0.008,0.192,0.007
6,2314032519,0.555,0.47,1.534
12,3240931545,0.562,0.473,1.551
16,6164466625,0.562,0.471,1.546
3,1462456609,0.563,0.509,1.56
9,4756642336,0.561,0.482,1.558
1000000000000000000,1000000000000000000,0.007,0.193,0.008
1000000000000000000,1000000000000000000,0.008,0.193,0.008
8,3725837748,0.556,0.47,1.526
5,3354952723,0.635,0.623,1.533
9,5342877793,0.58,0.488,1.639
9,3963825827,0.61,0.482,1.58
1000000000000000000,1000000000000000000,0.578,0.485,1.616
8,4512027211,0.569,0.528,1.557
14,4130823620,0.571,0.482,1.582
1000000000000000000,1000000000000000000,0.008,0.197,0.008
1000000000000000000,1000000000000000000,0.008,0.198,0.008
15,6204920148,0.756,0.538,1.622
11,5781898815,0.708,0.746,2.251
1000000000000000000,1000000000000000000,0.009,0.353,0.008
10,6629597067,0.567,0.637,2.15
1000000000000000000,1000000000000000000,0.602,0.605,1.787
8,1551548379,0.589,0.527,1.702
12,5887901680,0.579,0.522,1.649
1000000000000000000,1000000000000000000,0.657,0.505,1.577
15,4387911485,0.58,0.514,1.572
1000000000000000000,1000000000000000000,0.008,0.203,0.008
15,6838649167,0.627,0.574,1.723
12,4076796087,0.579,0.542,1.642
16,6326212957,0.583,0.513,1.593
1000000000000000000,1000000000000000000,0.008,0.254,0.008
6,2693246418,0.582,0.514,1.651
1000000000000000000,1000000000000000000,0.591,0.555,1.732
12,5852960793,0.613,0.721,1.747
12,4452616961,0.604,0.652,1.696
7,4425234181,0.575,0.623,1.705
7,2740473132,0.582,0.533,1.651
13,5519543933,0.627,0.504,1.582
1000000000000000000,1000000000000000000,0.577,0.501,1.591
9,3282379967,0.559,0.541,1.753
1000000000000000000,1000000000000000000,0.009,0.396,0.007
8,3484291816,0.66,0.54,1.756
10,2009877513,0.557,0.495,1.553
1000000000000000000,1000000000000000000,0.008,0.221,0.008
1000000000000000000,1000000000000000000,0.01,0.193,0.023
1000000000000000000,1000000000000000000,0.594,0.576,1.596
1000000000000000000,1000000000000000000,0.009,0.254,0.01
5,896596744,0.583,0.502,1.679
13,6845453162,0.58,0.547,1.599
12,6063092829,0.583,0.519,1.624
7,4021202957,0.563,0.525,1.648
1000000000000000000,1000000000000000000,0.562,0.531,1.587
8,2135517388,0.602,0.473,1.533
7,3151089758,0.556,0.475,1.551
9,3035277899,0.564,0.513,1.594
10,4972188270,0.565,0.475,1.543
1000000000000000000,1000000000000000000,0.571,0.49,1.566
12,6070350705,0.559,0.506,1.536
1000000000000000000,1000000000000000000,0.556,0.468,1.521
11,5488542048,0.555,0.469,1.569
7,2341071870,0.603,0.477,1.533
8,3029735189,0.669,0.607,1.649
7,3189218399,0.558,0.475,1.567
1000000000000000000,1000000000000000000,0.008,0.193,0.008
6,4015552163,0.562,0.509,1.54
12,4773416750,0.561,0.472,1.547
1000000000000000000,1000000000000000000,0.555,0.518,1.545
13,5578908580,0.585,0.471,1.509
7,3119649533,0.55,0.471,1.513
12,4910314325,0.562,0.473,1.579
1000000000000000000,1000000000000000000,0.009,0.192,0.008
1000000000000000000,1000000000000000000,0.008,0.192,0.007
14,4495430575,0.562,0.511,1.544
1000000000000000000,1000000000000000000,0.557,0.471,1.536
12,5356077599,0.564,0.475,1.593
13,6614320333,0.566,0.511,1.571
5,1928867924,0.57,0.477,1.568
11,4044974380,0.561,0.472,1.576
9,3545728830,0.603,0.475,1.561
7,3579562784,0.559,0.47,1.531
1000000000000000000,1000000000000000000,0.589,0.498,1.823
5,2369845390,0.563,0.525,1.645
11,3696169769,0.565,0.473,1.559
1000000000000000000,1000000000000000000,0.007,0.193,0.007
13,6125283883,0.617,0.47,1.519
1000000000000000000,1000000000000000000,0.56,0.476,1.58
10,3427827266,0.57,0.48,1.57
7,3831025164,0.554,0.469,1.523
1000000000000000000,1000000000000000000,0.008,0.192,0.008
14,6269277341,0.557,0.507,1.532
9,3816881762,0.556,0.469,1.541
9,4390997131,0.558,0.472,1.53
1000000000000000000,1000000000000000000,0.007,0.192,0.008
1000000000000000000,1000000000000000000,0.561,0.475,1.543
15,6885508082,0.557,0.468,1.532
6,2286784321,0.565,0.473,1.593
11,4139803245,0.557,0.475,1.534
12,4678654757,0.56,0.473,1.538
7,4135268237,0.587,0.497,1.68
1000000000000000000,1000000000000000000,0.597,0.5,1.64
9,4489775237,0.593,0.502,1.623
1000000000000000000,1000000000000000000,0.576,0.486,1.616
1000000000000000000,1000000000000000000,0.561,0.508,1.61
8,3411768663,0.563,0.474,1.548
9,3681226966,0.56,0.473,1.537
13,6288068594,0.563,0.472,1.536
6,2649305052,0.56,0.472,1.545
10,3788764504,0.558,0.47,1.539
10,4309607532,0.569,0.472,1.545
6,3142758144,0.56,0.472,1.567
11,5793181487,0.568,0.475,1.605
11,6019810052,0.588,0.469,1.546
10,4000474634,0.565,0.509,1.591
1000000000000000000,1000000000000000000,0.71,0.469,1.523
1000000000000000000,1000000000000000000,0.009,0.237,0.008
1000000000000000000,1000000000000000000,0.624,0.485,1.617
12,3728865744,0.563,0.475,1.591
1000000000000000000,1000000000000000000,0.566,0.475,1.629
11,5578523533,0.595,0.511,1.507
14,5257419141,0.556,0.471,1.524
1000000000000000000,1000000000000000000,0.008,0.192,0.008
12,5414374259,0.555,0.468,1.618
1000000000000000000,1000000000000000000,0.008,0.192,0.007
11,5016738651,0.596,0.47,1.539
8,3885044533,0.553,0.466,1.508
1000000000000000000,1000000000000000000,0.008,0.193,0.008
8,2638870006,0.557,0.471,1.527
11,3849182574,0.596,0.472,1.548
1000000000000000000,1000000000000000000,0.558,0.472,1.53
11,5848117098,0.555,0.469,1.526
13,4509212985,0.56,0.476,1.541
12,5671244684,0.558,0.469,1.536
8,5390359972,0.56,0.471,1.548
10,2692180124,0.604,0.505,1.84
9,3828275323,0.596,0.501,1.632
1000000000000000000,1000000000000000000,0.578,0.482,1.625
9,2562062465,0.589,0.485,1.585
1000000000000000000,1000000000000000000,0.008,0.241,0.007
1000000000000000000,1000000000000000000,0.562,0.477,1.54
8,3094053273,0.559,0.47,1.569
4,2168217184,0.603,0.475,1.55
11,5075933199,0.561,0.478,1.599
9,3555171704,0.561,0.505,1.603
13,5061406639,0.555,0.477,1.522
1000000000000000000,1000000000000000000,0.007,0.193,0.008
1000000000000000000,1000000000000000000,0.008,0.193,0.008
11,4197474669,0.563,0.474,1.558
1000000000000000000,1000000000000000000,0.563,0.475,1.569
10,4618431291,0.562,0.471,1.534
1000000000000000000,1000000000000000000,0.009,0.193,0.008
13,5915905047,0.551,0.468,1.51
12,5779932164,0.559,0.471,1.521
12,6480799886,0.614,0.486,1.781
13,5426695665,0.597,0.484,1.625
10,5360931493,0.582,0.488,1.656
10,6113501466,0.569,0.523,1.558
7,1990679978,0.575,0.487,1.607
1000000000000000000,1000000000000000000,0.008,0.198,0.008
1000000000000000000,1000000000000000000,0.007,0.198,0.008
8,3020857135,0.574,0.484,1.608
6,3881376501,0.572,0.486,1.595
6,2855651634,0.566,0.482,1.563
12,3074782388,0.576,0.485,1.576
7,2346945273,0.581,0.488,1.614
15,5615889077,0.571,0.484,1.565
8,3494597176,0.565,0.473,1.582
1000000000000000000,1000000000000000000,0.009,0.193,0.008
9,3793737584,0.554,0.471,1.528
1000000000000000000,1000000000000000000,0.562,0.472,1.556
10,5251682992,0.557,0.47,1.531
1000000000000000000,1000000000000000000,0.571,0.516,1.739
13,6108083800,0.573,0.484,1.574
11,4180599434,0.564,0.473,1.646
11,3506714988,0.555,0.511,1.519
1000000000000000000,1000000000000000000,0.007,0.192,0.008
1000000000000000000,1000000000000000000,0.563,0.475,1.595
1000000000000000000,1000000000000000000,0.008,0.214,0.008
5,1230586852,0.562,0.472,1.558
11,5061327109,0.559,0.473,1.586
8,3215068344,0.566,0.473,1.633
10,4933692430,0.554,0.47,1.553
1000000000000000000,1000000000000000000,0.559,0.472,1.599
1000000000000000000,1000000000000000000,0.008,0.192,0.008
10,4312521272,0.562,0.473,1.546
15,5656169904,0.558,0.472,1.57
8,4239083607,0.557,0.468,1.568
1000000000000000000,1000000000000000000,0.567,0.474,1.555
11,3970286483,0.561,0.471,1.578
8,4145867451,0.608,0.678,1.551
10,2710922915,0.594,0.5,1.628
7,2910673428,0.572,0.486,1.587
12,3976023143,0.744,0.71,1.838
15,4551443086,0.57,0.565,1.951
8,4119307241,0.71,0.488,1.577
1000000000000000000,1000000000000000000,0.007,0.193,0.008
7,4131142842,0.597,0.474,1.594
1000000000000000000,1000000000000000000,0.561,0.472,1.581
10,4764110940,0.559,0.468,1.53
1000000000000000000,1000000000000000000,0.009,0.214,0.007
1000000000000000000,1000000000000000000,0.556,0.472,1.598
1000000000000000000,1000000000000000000,0.563,0.478,1.715
