Path Length, Path Cost,stl_time,Binary Heap Execution Time(ms), Fibonacci Heap Execution Time(ms)
1000000000000000000,1000000000000000000,0.009,0.253,0.007
8,4890979347,0.573,0.535,1.561
1000000000000000000,1000000000000000000,0.583,0.496,1.599
7,3976542196,0.584,0.508,1.67
1000000000000000000,1000000000000000000,0.008,0.206,0.008
1000000000000000000,1000000000000000000,0.582,0.504,1.633
10,3605986300,0.587,0.537,1.643
11,4757679779,0.57,0.506,1.595
9,3491412395,0.584,0.658,1.655
10,4376904522,0.584,0.615,1.613
1000000000000000000,1000000000000000000,0.582,0.64,1.617
5,2402858181,0.6,0.636,1.925
10,4371774085,0.604,0.588,1.689
10,3101713657,0.607,0.625,1.648
12,5804650088,0.59,0.596,1.616
14,4860296769,0.581,0.614,1.801
13,4884928419,0.566,0.518,2.059
8,4514979777,0.613,0.523,1.609
6,2925063611,0.576,0.483,1.562
1000000000000000000,1000000000000000000,0.009,0.199,0.008
12,4953046896,0.555,0.471,1.621
7,4318846641,0.634,0.478,1.564
8,3422009973,0.565,0.474,1.603
9,5396912204,0.557,0.471,1.57
7,2528730471,0.599,0.507,1.531
7,2696918490,0.563,0.475,1.552
1000000000000000000,1000000000000000000,0.008,0.194,0.008
9,3795655630,0.697,0.472,1.565
6,3134223440,0.597,0.503,1.731
1000000000000000000,1000000000000000000,0.589,0.498,1.609
1000000000000000000,1000000000000000000,0.008,0.205,0.008
12,4965250941,0.581,0.491,1.59
13,4261223910,0.548,0.52,1.576
1000000000000000000,1000000000000000000,0.557,0.47,1.517
6,3712043816,0.559,0.471,1.528
1000000000000000000,1000000000000000000,0.727,0.884,1.575
4,1225339468,0.557,0.525,1.663
9,4370071377,0.596,0.477,1.643
18,6194051650,0.564,0.478,1.628
7,3603995391,0.555,0.472,1.566
7,2294860145,0.599,0.51,1.589
12,4400074136,0.542,0.466,1.548
13,5647716023,0.558,0.472,1.529
8,2689890379,0.617,0.473,1.59
17,6945470948,0.588,0.592,1.827
1000000000000000000,1000000000000000000,0.008,0.301,0.008
1000000000000000000,1000000000000000000,0.705,0.494,1.637
7,5085081206,0.612,0.509,1.538
11,4562920303,0.56,0.512,1.649
1000000000000000000,1000000000000000000,0.007,0.193,0.008
13,7120446585,0.565,0.555,1.561
1000000000000000000,1000000000000000000,0.008,0.193,0.008
8,3640354037,0.564,0.476,1.546
10,6392552038,0.564,0.474,1.625
1000000000000000000,1000000000000000000,0.007,0.194,0.007
1000000000000000000,1000000000000000000,0.008,0.194,0.008
11,4501292235,0.558,0.47,1.6
10,5743582041,0.557,0.553,1.512
13,5532385261,0.556,0.471,1.604
10,3967619102,0.567,0.477,1.615
7,3534323883,0.591,0.479,1.562
11,3959474465,0.563,0.475,1.623
1000000000000000000,1000000000000000000,0.008,0.193,0.007
1000000000000000000,1000000000000000000,0.566,0.475,1.636
1000000000000000000,1000000000000000000,0.595,0.814,1.539
7,4823703056,0.571,0.487,1.575
11,6022502856,0.573,0.49,1.614
12,6394183341,0.57,0.519,1.601
1000000000000000000,1000000000000000000,0.008,0.193,0.007
1000000000000000000,1000000000000000000,0.007,0.194,0.008
1000000000000000000,1000000000000000000,0.571,0.483,1.603
8,2889597446,0.562,0.481,1.633
9,3303774544,0.557,0.508,1.545
10,4328247837,0.549,0.47,1.506
14,4827677145,0.562,0.473,1.543
12,5363303766,0.554,0.47,1.54
7,3547332207,0.558,0.473,1.542
1000000000000000000,1000000000000000000,0.008,0.194,0.008
1000000000000000000,1000000000000000000,0.564,0.474,1.545
1000000000000000000,1000000000000000000,0.587,0.499,1.518
0,0,0.554,0.473,1.521
1000000000000000000,1000000000000000000,0.563,0.474,1.622
14,5047591919,0.641,0.466,1.516
13,6577318049,0.597,0.504,1.613
7,2092034850,0.724,0.56,1.85
